21	22	5
21	23	5
21	24	5
21	27	5
21	28	5
21	22	6
21	23	6
21	24	6
21	27	6
21	28	6
21	24	14
22	23	5
22	24	5
22	27	5
22	28	5
22	23	6
22	24	6
22	27	6
22	28	6
22	24	16
22	28	16
23	24	5
23	27	5
23	28	5
23	24	6
23	27	6
23	28	6
24	27	5
24	28	5
24	27	6
24	28	6
24	30	14
24	28	16
24	30	16
26	28	16
27	28	5
27	28	6
28	35	16
56	57	4
56	57	33
56	58	33
56	57	39
56	58	39
57	58	33
57	58	39
21	27	26
22	27	26
23	27	26
24	27	26
21	22	26
21	22	30
21	22	34
21	22	35
21	22	49
21	23	26
21	23	30
21	23	34
21	23	35
21	23	49
21	24	26
21	24	34
21	24	35
21	24	44
21	24	49
21	27	30
21	27	34
21	27	35
21	28	30
21	28	49
22	23	26
22	23	30
22	23	34
22	23	35
22	23	49
22	23	61
22	24	26
22	24	34
22	24	35
22	24	49
22	24	61
22	27	30
22	27	34
22	27	35
22	27	61
22	28	30
22	28	49
22	28	61
23	24	26
23	24	34
23	24	35
23	24	49
23	24	61
23	27	30
23	27	34
23	27	35
23	27	61
23	28	30
23	28	49
23	28	61
24	27	34
24	27	35
24	27	61
24	28	49
24	28	61
24	30	32
24	30	34
24	30	35
24	30	49
26	28	49
26	28	61
27	28	30
27	28	61
